time,heading
0.0,96.15016252110944
0.9994032382965088,93.39930724755868
2.0009772777557373,102.81194313736444
2.9996871948242188,91.12405356412268
3.9996392726898193,77.32033369659189
4.999616622924805,69.60889398033828
6.000313997268677,51.50077144929179
7.000109910964966,50.5051171894724
8.000000715255737,23.83586640652726
8.999558687210083,21.002709513004845
9.999471664428711,15.021007508110358
10.999461650848389,23.916229379789115
12.000382661819458,27.66093872889951
13.001408576965332,37.466484207454414
14.001081705093384,77.330154873472
14.999461889266968,29.058538558898874
15.999194145202637,1.6084017553851595
16.999765634536743,347.5351130571281
17.999065399169922,339.6247699355077
18.999841690063477,334.5348995306365
19.999234676361084,337.5090931813576
20.999916791915894,316.73524848476427
21.999510288238525,336.00841223785244
23.000077962875366,326.576099129765
23.999402046203613,336.5268784329943
24.999001264572144,341.12311963421087
25.99927020072937,343.41339558775866
27.000518798828125,338.7627078308805
27.999903917312622,330.60777043103906
29.00075340270996,296.3851261291869
30.000643253326416,294.0789702150918
31.00064468383789,285.1275940882823
31.999359130859375,257.5293990429102
32.9990291595459,269.52218900248243
34.0005784034729,266.2267144117115
34.998939514160156,270.32535002855303
36.0000364780426,280.7453170271426
37.0011305809021,298.5090568654874
37.999971866607666,298.52701012991906
39.00106072425842,297.5455290024954
39.99987506866455,304.44981678889627
40.99952673912048,308.6681944939292
42.00022792816162,314.1923603239032
43.00035095214844,326.247150250191
44.00013184547424,340.74491990785225
45.00131559371948,314.12588160413327
46.00077795982361,340.7938979224261
46.999959230422974,323.946612263609
47.99943804740906,330.0646001533403
48.99927067756653,352.7459818583644
49.99947428703308,6.924674870523347
51.00128769874573,17.179924307671172
52.000725746154785,18.62637658086373
52.99957776069641,19.9178135729552
53.999239921569824,51.92783055874628
54.99932289123535,80.93822088192456
56.00049924850464,30.933771985838405
57.0004997253418,33.825044648469145
58.00147318840027,49.63840445907334
59.00144577026367,43.96532181464204
60.000556230545044,45.49392881876082
61.00040125846863,56.30721132780519
61.999600887298584,72.35213929695487
63.000572681427,61.6040938105067
63.9995334148407,63.43742064932746
64.99951934814453,74.39768374346295
66.0004472732544,87.57415403467803
66.99946689605713,70.81960588619995
67.99986481666565,59.76252702998261
69.00047469139099,53.52916192721693
69.9998209476471,70.11519184124353
71.00033807754517,83.47211662070254
72.00008416175842,23.479967013096484
73.00066018104553,31.669223536475783
73.99985575675964,41.85045647270579
75.0002772808075,30.01605530304505
75.99986815452576,29.840067267441384
77.00066041946411,49.470688265327
77.99925351142883,356.17735476907313
78.9994797706604,344.765628812326
80.00029158592224,320.88416845895523
81.00021696090698,331.96441990836934
81.99968981742859,350.95467969901927
82.9995448589325,1.8785930137879063
84.00092101097107,11.687754551726924
84.99994993209839,6.835669920321209
85.99958515167236,345.9669923955206
86.99973249435425,328.3372850698614
88.00068950653076,329.0913375742234
89.00072741508484,338.65997292410907
89.99898409843445,335.366195197961
91.00081849098206,336.29477234088216
91.99973249435425,350.2880746616591
92.9995858669281,340.2216869048457
93.99938488006592,311.0289093648686
94.99951720237732,305.5388023038894
95.9998517036438,301.11759170928485
97.00010228157043,260.07141155988813
98.00182867050171,219.9930434916524
99.00001788139343,279.1972731041658
99.99997591972351,256.0417387238839
101.00103449821472,221.7826100288711
102.00019192695618,241.82584649836772
103.0034430027008,253.82270061905592
104.00124406814575,244.55381546757192
105.00010228157043,236.88263473645475
105.99982380867004,240.61440646801515
107.0005943775177,236.06309222485748
108.00097489356995,230.93614904519043
109.00082397460938,210.60030386062735
109.99979591369629,199.55389259614668
110.9997329711914,186.4285993466679
112.00000786781311,167.54406623701107
113.00050520896912,144.81230557708534
114.00014972686768,166.5278883623614
114.99966740608215,160.375147023669
116.00108885765076,203.4637803647257
116.99973487854004,177.58500970206
117.99968075752258,120.82502675901736
119.00095248222351,150.7892511519703
120.00127506256104,140.93945096151867
121.00030708312988,139.53999775564387
122.000661611557,122.16702719581684
123.00127124786377,129.0061849695124
124.00070667266846,128.8964282501454
125.00015187263489,128.35454839127408
126.00199222564697,134.69004680892726
127.00034999847412,135.46970642478124
128.00056648254395,132.21489024910431
128.99959897994995,128.6969044339661
129.9996747970581,118.67535128121044
131.0002453327179,126.14997357356252
132.0001711845398,113.04920697395504
132.9998209476471,139.01842996461858
134.0015411376953,169.197677387795
135.0009684562683,184.7122132742337
136.00085973739624,181.19698340631948
137.00087976455688,156.76418568368035
138.00144958496094,156.6562232645755
139.00099754333496,140.04853185841318
140.00148248672485,146.97601385382706
141.00102186203003,174.98109221010077
142.0010118484497,174.25472358609295
143.00133872032166,176.93033668477074
144.00056886672974,192.05456214146523
145.0007483959198,204.5201413550964
146.0003662109375,241.1612435534159
147.00105929374695,261.3095614374867
148.00099182128906,267.2141875142311
149.00159072875977,247.4250639384572
150.0016896724701,233.7370377237525
151.00001168251038,224.0603041947689
152.00021266937256,220.27051770777973
152.99987316131592,210.11099540679348
154.00044202804565,212.3469664315366
155.00066447257996,217.59112717189527
156.00113606452942,215.2753625906545
157.00097632408142,217.55120863584037
158.0005521774292,225.13749871360892
