time,latitude,longitude,altitude
1755619209.6590452,55.76149813333333,12.600351126666666,31.342099999999995
1755619210.6584485,55.761497405,12.60036314,31.6774
1755619211.6600225,55.76149702,12.60037466,31.764400000000002
1755619212.6587324,55.761495638333336,12.600385458333333,31.8163
1755619213.6586843,55.761495518333334,12.600396328333334,31.8301
1755619214.6586618,55.76149683166667,12.600406703333332,31.6598
1755619215.6593592,55.761499035,12.600417238333334,31.4407
1755619216.6591551,55.76150169333334,12.600423178333333,31.150999999999996
1755619217.659046,55.761503301666664,12.600426646666667,30.940099999999997
1755619218.658604,55.761505265,12.600428188333334,31.187299999999997
1755619219.658517,55.761508665,12.600430508333334,32.250699999999995
1755619220.6585069,55.76151292833333,12.600432541666667,32.478899999999996
1755619221.6594281,55.76151612333334,12.60043506,32.7641
1755619222.6604538,55.76151960666667,12.600438305,33.0316
1755619223.660127,55.761521746666666,12.60044122,33.4173
1755619224.6585073,55.76152204833333,12.600443605,33.887
1755619225.6582394,55.76152352333333,12.600445061666667,34.1262
1755619226.6588109,55.761526195,12.600445195,34.4009
1755619227.6581106,55.76153059833333,12.600443465,34.410199999999996
1755619228.658887,55.76153415833333,12.600441115,34.449799999999996
1755619229.65828,55.76153802166667,12.600437845,34.4494
1755619230.658962,55.761542975,12.6004342,34.805699999999995
1755619231.6585555,55.76154631666667,12.60042861,34.769099999999995
1755619232.6591232,55.76155139666667,12.600424591666666,34.940599999999996
1755619233.6584473,55.761555385,12.600419913333333,35.007999999999996
1755619234.6580465,55.761560388333336,12.600416051666667,35.0503
1755619235.6583154,55.761566175,12.600412535,35.1789
1755619236.659564,55.761572468333334,12.600409203333333,35.612899999999996
1755619237.6589491,55.76157956,12.600404305,35.6894
1755619238.6597986,55.76158529,12.600398568333333,35.4525
1755619239.6596885,55.76158701166667,12.6003924,35.4387
1755619240.65969,55.76158832833333,12.600387163333334,35.16759999999999
1755619241.6584044,55.761588865,12.600383635,35.2915
1755619242.6580744,55.76158818166667,12.600378143333334,35.5111
1755619243.6596236,55.76158814,12.600369263333333,35.5787
1755619244.6579847,55.76158774666666,12.600358663333333,35.6256
1755619245.6590815,55.76158778166667,12.600347708333333,35.6029
1755619246.6601758,55.76158894833333,12.600336781666666,35.4578
1755619247.659017,55.76159226666667,12.600325923333333,35.062
1755619248.660106,55.761594941666665,12.600317176666668,34.9669
1755619249.6589205,55.761597431666665,12.600308691666667,34.8294
1755619250.658572,55.761600805,12.600299951666667,34.63
1755619251.6592731,55.761604326666664,12.60029213,34.5389
1755619252.6593962,55.76160836166667,12.600284753333334,34.312
1755619253.659177,55.76161329833333,12.60027889,34.0666
1755619254.6603608,55.761616815,12.600276706666667,34.0325
1755619255.6598232,55.76161894333333,12.600272806666666,33.8493
1755619256.6590044,55.76162051,12.600271836666666,34.0062
1755619257.6584833,55.761623056666664,12.600268541666667,34.0208
1755619258.658316,55.76162703166667,12.600264473333333,34.0723
1755619259.6585197,55.76163257166667,12.60026322,34.1388
1755619260.660333,55.761637111666666,12.6002642,34.3226
1755619261.659771,55.76164292,12.600267391666666,34.7473
1755619262.658623,55.761648556666664,12.600270768333333,35.3272
1755619263.6582851,55.761653388333336,12.60027388,35.417
1755619264.658368,55.76165591,12.600279601666667,35.8455
1755619265.6595445,55.76165635,12.600284505,36.1009
1755619266.659545,55.76165780833333,12.600286058333333,36.4756
1755619267.6605184,55.761660793333334,12.600289613333333,36.714999999999996
1755619268.660491,55.76166428333333,12.600296911666666,36.867
1755619269.6596014,55.76166893833334,12.600304891666667,36.810399999999994
1755619270.6594465,55.76167426666667,12.600314526666667,36.91759999999999
1755619271.658646,55.761677283333334,12.600322568333333,36.867999999999995
1755619272.6596181,55.761678763333336,12.600330836666666,36.8463
1755619273.6585786,55.76168152666666,12.600339921666666,36.9587
1755619274.6585646,55.761684628333335,12.600350948333332,37.0727
1755619275.6594925,55.76168639666667,12.600362203333333,37.3083
1755619276.6585119,55.76168665,12.600372831666666,37.4617
1755619277.65891,55.761688461666665,12.600382088333333,37.3867
1755619278.65952,55.761691273333334,12.600390661666667,37.1635
1755619279.6588662,55.76169452833334,12.600398488333333,36.7825
1755619280.6593833,55.76169590333333,12.600405245,36.8074
1755619281.6591294,55.761696135,12.600408843333334,36.9522
1755619282.6597054,55.76169857,12.600410723333333,37.0623
1755619283.658901,55.76170097333333,12.600413358333334,36.910799999999995
1755619284.6593225,55.761704245,12.600418566666667,37.125499999999995
1755619285.6589134,55.761710025,12.600424501666666,37.422599999999996
1755619286.6597056,55.761713861666664,12.600428413333333,37.768
1755619287.6582987,55.76171432666666,12.60042938,38.0616
1755619288.658525,55.76171582833334,12.600429201666667,38.3797
1755619289.6593368,55.761719326666665,12.600427508333333,38.6875
1755619290.6592622,55.7617224,12.600423066666666,38.6805
1755619291.658735,55.76172526333333,12.600420356666667,38.6661
1755619292.65859,55.76172913333333,12.600419261666667,38.778
1755619293.6599662,55.761732478333336,12.600419456666666,38.9472
1755619294.6589952,55.76173683,12.600421056666667,39.2541
1755619295.6586304,55.76174071,12.600421883333333,39.8862
1755619296.6587777,55.76174417666667,12.600420343333333,40.1515
1755619297.6597347,55.76174761,12.60041658,40.174
1755619298.6597726,55.761751745,12.60041218,40.2653
1755619299.6580293,55.761756915,12.60040859,40.1837
1755619300.6598637,55.761761825,12.600404588333333,40.2488
1755619301.6587777,55.76176713,12.600400448333334,40.3145
1755619302.658631,55.76177305833333,12.600398645,40.9135
1755619303.6584299,55.76177794,12.600395525,41.303000000000004
1755619304.6585624,55.761780605,12.600390081666667,41.4463
